,overall_ranking,first_name,last_name,pos,team,body
25,25,Travis,Bazzana,2B,CLEVELAND GUARDIANS,"Age: 22 Ht: 6-0 Wt: 199 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 39/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Ineligible Bazzana was the ﬁrst pick in the 2024 draft out of Oregon State, where the Australian inﬁelder had starred for three seasons as the Beaversʼ second baseman, ﬁnishing with a .407/.568/.911 line as a junior. Cleveland sent him right to High A, where he struggled a little out of the gate, enduring a ﬁve-game hitless stretch in his second week there before warming up for his last month-plus at the level and ending with a .238/.369/.396 line in his pro debut. Heʼs a very polished WYSIWYG (what you see is what you get) player, offering little in the way of physical projection but also earning plaudits everywhere for his acumen for the game, leading evaluators to believe he will be able to make adjustments as he faces better pitching. He has an odd start to his swing with the bat back behind his rear shoulder and pointing down, but heʼs ready when it matters and has a short path to the ball once his hands get started. He showed incredible plate discipline in college and most of that carried over into the minors, as he still didnʼt chase much (22 percent) and only struggled against sliders in that brief stint, particularly left on left. Bazzana is limited to second base or possibly left ﬁeld. Clevelandʼs trade of Andrés Giménez clears the keystone for him, and thereʼs every reason to expect him to see the majors some time this year given his advanced approach and present power/strength. Even if heʼs just average on defense, https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 40/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic his propensity to hit for high averages and get on base with probably 20ish-homer upside should MLB Teams • • • • • • still make him an All-Star. Photo:AP Images CLEVELAND GUARDIANS 2B"
26,26,Josue,De Paula,"OF,1B",LOS ANGELES DODGERS,"Age: 20 Ht: 6-3 Wt: 185 Bats: L Throws: L 2024 Ranking: 25 De Paula is one of the best pure offensive prospects in the minors right now, with an incredible approach at the plate that resulted in a .268/.404/.405 line between Low A and High A with 84 https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 41/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic walks (good for 14th in all of the minors) and just 95 strikeouts. He makes hard contact right now, MLB Teams • • • • • • with strong exit velocities that you might not infer from his power output (just 10 homers, 17 doubles, three triples), as he doesnʼt get the ball in the air as often as youʼd like just yet. Heʼs a 40 runner and isnʼt a great defender anywhere, so the hope is he ends up a 45 defender in an outﬁeld corner, while the fear is he ends up at ﬁrst base or at DH. The bat will play anywhere, especially if his power emerges with age and more muscle on his 6-3 frame, particularly in his wrists and forearms, allowing him to control the bat head better through contact to hit the ball on a line. Iʼm betting on that happening given his age, physique, and exceptional command of the strike zone. Photo:AP Images LOS ANGELES DODGERS OF 1B"
27,27,Drake,Baldwin,C,ATLANTA,"Age: 24 Ht: 5-10 Wt: 210 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 42/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked Baldwin is such a good defender behind the plate that heʼs almost certainly going to be someoneʼs everyday catcher, and if his raw power keeps showing up in games as it did after a midseason promotion to Triple A, heʼs going to make some All-Star teams. He was Atlantaʼs third-round pick in 2022 out of Missouri State, where he wasnʼt a full-time player until his draft year, and heʼs improved substantially as a hitter since entering pro ball, loosening up at the plate to try to get to more of that plus power. He had a slow start in Double A but Atlanta promoted him to Gwinnett in early June, after which he took off, hitting .298/.407/.484 at the higher level with 12 homers in 72 games. He hits the ball extremely hard — his average exit velocity in Triple A was 92 mph, his EV50 was 103, and his 90th percentile EV was 107 — so thereʼs every reason to think the power is real. He whistles the bat through the zone with excellent bat speed, and even with a pretty high starting position he hasnʼt had trouble getting to pitches at the bottom of the strike zone so far. Heʼs an outstanding blocker and receiver with plus arm strength but just fringy accuracy so far, leading to a career 20 percent caught stealing rate in the minors. A 20-homer catcher with plus defense will rank among the best backstops in the majors, and Baldwin looks like he can be at least that, and probably will debut this year. https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 43/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Photo:Getty Images MLB Teams • • • • • • ATLANTA C"
28,28,Marcelo,Mayer,SS,BOSTON RED SOX,"Age: 22 Ht: 6-3 Wt: 188 Bats: L Throws: R 2024 Ranking: 8 Mayer looked like he was on track to be the top prospect in baseball around midyear, but he got hurt yet again, with his last game in 2024 coming on July 30, further underscoring his history of missing time with injuries. He was in the midst of a bounce-back season at the plate, returning to Double A and hitting .307/.370/.480 there while cutting his strikeout rate from 26 percent to just under 20 percent, when the injury struck, although he was promoted on paper to Triple A after he https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 44/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic hit the injured list. Mayer has a very pretty left-handed swing with good loft in his ﬁnish, projecting MLB Teams • • • • • • to plus power down the road, probably 25-30 homers a year. Heʼs a strong athlete and has the arm and hands to be a plus defender, ﬂashing that range at times but needing to be more consistent on routine plays. He murders fastballs, with the bat speed to catch up to top-end velocity, while offspeed stuff gave him more trouble than ever in 2024. It may be mechanical, as heʼs locking his front knee very early and trying to hit with a completely ﬁrm front side, leaving him vulnerable to stuff down at or below his knees; if thatʼs the issue, itʼs also ﬁxable, and he hasnʼt always hit this way. More concerning is that Mayer has yet to play in 100 games in a pro season, topping out at 91 in 2022, missing time due to a lumbar strain (2024), shoulder inﬂammation (2023), a sprained wrist (2022), and “back issues” (2022). Heʼs 22 now and still has superstar potential — a 30-homer shortstop with plus defense and what should be above-average OBPs is going to be the best player on his team in most cases. He has to show he can play 140 games in a year and get back to hitting offspeed stuff to be that kind of prospect again. Photo:Getty Images BOSTON RED SOX SS"
29,29,Bryce,Eldridge,1B,SAN FRANCISCO GIANTS,"Age: 20 Ht: 6-7 Wt: 223 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 45/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 85 Eldridge played as much as any prospect in 2024, with 565 total plate appearances across four levels of the minors and a stint in the Arizona Fall League, where he was understandably gassed. He performed well at the ﬁrst three stops as a 19-year-old in his ﬁrst full pro season. He was a two-way player in high school who had arm strength as a pitcher but no breaking ball to speak of, so while the Giants sort of said heʼd continue to pitch when they drafted him, everyone wised up and told him to go hit. Heʼs 6-7 but has a short swing for someone that size, one thatʼs far more geared towards contact than the kind of big-ﬂy, loft-oriented swing you might expect from such a tall hitter, and he kept his strikeout rate to just 25 percent until he got to Triple A, which is always the biggest concern with any hitter his height (or taller). He looks like heʼll be a huge power hitter, but while he makes hard contact, Iʼm expecting higher averages and doubles totals but a more modest home run output in the 20-25 homer range. He has played some right ﬁeld but itʼs apparently an Eldridge horror show out there, so ﬁrst base it will be. He still has work to do there, but thereʼs really nothing stopping him from becoming at least a 55 defender at the position, and he does give ﬁelders a big target for their throws. The Giants pushed him very hard last year, so 2025 should be a consolidation year for him, where perhaps he starts in Double A and gets a long run there before moving up to the hitter-friendly PCL. Heʼs their next franchise player, but needs https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 46/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic time to be ready to deal with major-league pitching, especially as he had more trouble with MLB Teams • • • • • • offspeed stuff as he moved up the ladder last year. Photo:Getty Images SAN FRANCISCO GIANTS 1B"
30,30,Brandon,Sproat,RHP,NEW YORK METS,"Age: 24 Ht: 6-3 Wt: 215 Bats: R Throws: R 2024 Ranking: Unranked The Mets wanted Sproat so badly, they drafted him twice. He decided not to sign in 2022, choosing instead to return to Florida to try to improve his draft stock, and he did, going a round https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 47/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic higher in 2023 and probably making another $500,000 in the process. He reached Triple A in his MLB Teams • • • • • • ﬁrst full pro season, dominating High-A and Double-A hitters with a ﬁve-pitch mix. He had a 2.05 ERA on the season and 110 Ks with 31 walks in 87 2/3 innings when he was promoted to Triple-A Syracuse. He struggled in seven starts there, allowing 36 hits, including seven homers, in just 28 innings, as his fringy command came back to bite him, with too many fastballs left about belt-high and more experienced hitters better able to pick up some of his offspeed stuff. He works heavily off a four-seamer thatʼs been up to 99-100 and sits 96-97, while his best pitch is a slider thatʼs above-average to plus depending on the day; heʼll throw a decent change, a curve, and a two- seamer as well. Itʼll always be control over command, as heʼs so aggressive that itʼs hard to foresee him ever toning it down enough to be precise with his locations. Heʼll have to do a little bit of reﬁnement to make the last leap to the majors, as hitters will hit your stuff, no matter how good it is, if you put it on a tee for them. He has some similarities to Edwin Jackson, a huge stuff guy who was more of a No. 4 starter for most of his career, although I think Sproat has better control than Jackson did at the same age. Photo:Imagn Images NEW YORK METS RHP"
31,31,Leodalis,De Vries,SS,SAN DIEGO PADRES,"Age: 18 Ht: 6-0 Wt: 183 Bats: S Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 48/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Ineligible De Vries signed last January for $4.2 million, the second-biggest bonus in the 2024 international free agent class, and the Padres were unusually aggressive with him — who am I kidding, they always do this — in sending him not to the DSL, not to the Arizona League, but to Low A, making him the only 17-year-old regular anywhere in full-season ball last year. He more than held his own, hitting .237/.361/.441 with a very respectable 23.3 percent strikeout rate that was slightly better than the Cal League average. He has a real knack for centering the ball and as he gets stronger his batting average is going to climb very quickly, since he already has the contact skills. He knows the strike zone extremely well for someone so young, and he rarely misses fastballs; he had more trouble with other pitch types, unsurprising given his complete lack of prior experience anywhere in pro ball, but didnʼt panic with two strikes and only swung and missed slightly more often in those spots. His regular season ended in mid-August when he strained his right shoulder on a diving play, but in a sign that the injury wasnʼt too serious, the Padres sent him to the Arizona Fall League, where he was, of course, the youngest player. He turned 18 in October, so heʼs younger than some high school players whoʼll be drafted on Day 1 this upcoming July. De Vries was already showing signs of adjustments when he got hurt, cutting his whiff and chase rates on various pitch types in the second half, and he has barely begun to grow into his 6-2 (actual height) frame. Heʼs got a chance to stick at shortstop, heʼs a plus runner, and he might end up with 20+ https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 49/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic homer power. Give him a full, healthy year along with the beneﬁt of all the experience he got in MLB Teams • • • • • • 2024 and he might be a top 10 prospect by next January. Photo:AP Images SAN DIEGO PADRES SS"
32,32,JJ,Wetherholt,SS,ST. LOUIS CARDINALS,"Age: 22 Ht: 5-10 Wt: 190 Bats: L Throws: R 2024 Ranking: Ineligible Wetherholt might have gone No. 1 in last yearʼs draft had he had a full, healthy spring for West Virginia, but a hamstring injury limited him to 36 games for the Mountaineers, just 27 of them in https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 50/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic the ﬁeld, so he ended up going No. 7 to the Cardinals — and that looks like a steal for St. Louis. MLB Teams • • • • • • Wetherholt had one of the best swings in the draft class and a long track record of hitting for average and high contact rates, hitting .449/.517/.787 as a sophomore and then .331/.472/.589 despite clearly playing hurt for some of his junior year. Heʼs not very physical, but makes plenty of hard contact — his hard-hit rate in Low A after the draft was 55 percent, exactly the same as his hard-hit rate from the spring, and he topped out at 109 mph in Palm Beach — thanks to a short, efﬁcient swing that gets the most from his lower half (when his lower half is intact). He moved to shortstop from second and third as a junior, but of course never played it at full strength after the ﬁrst weekend, so while the safe bet is that he ends up at second base, he hasnʼt had a chance to show much at shortstop yet. Regardless of his position, his swing mechanics and his approach at the plate point to high averages and a lot of doubles power, enough to make him a long-time regular who might challenge for some batting titles. Photo:Getty Images ST. LOUIS CARDINALS SS"
33,33,Kevin,Alcantara,OF,CHICAGO CUBS,"Age: 22 Ht: 6-6 Wt: 188 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 51/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 28 “The Jaguar” made his big-league debut in September, just over three years after the Cubs acquired him from the Yankees for Anthony Rizzo in a trade that worked out well for both clubs. Alcántara started slowly in 2024 and hit the injured list in early June with an injury to his left shoulder, but after he returned, he took off at the plate, hitting .292/.388/.459 between Double A and Triple A in 63 games before the callup. Heʼs 6-6 and lanky, with a ton of room to keep ﬁlling out and adding power beyond what he already shows — nearly half of his balls in play in Triple A were hard-hit (95 mph or better exit velocities) — while he's still developing the wrist and forearm strength to stay on plane through contact and get the ball in the air more, with a 51.7 percent groundball rate in the minors last year. Alcántara has worked his way up to become a plus defender in center as heʼs improved his focus and his reads on balls off the bat. Heʼs not ready for the majors yet, between the tendency to get on top of the ball and some real trouble with sliders once he reached Triple A (he whiffed at just over half of the ones he swung at there), but with his plus defense and speed and the 30-40 homer potential, he has the most upside of anyone in the Cubs system. Photo:Getty Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 52/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic CHICAGO CUBS OF MLB Teams • • • • • •"
34,34,Charlie,Condon,OF,COLORADO ROCKIES,"Age: 22 Ht: 6-6 Wt: 216 Bats: R Throws: R 2024 Ranking: Ineligible Condon was the No. 1 player on my predraft rankings last year and went to Colorado with the third pick, but his post-draft performance couldnʼt have differed more from what he did in the spring for Georgia. Condon won the Golden Spikes Award with a .433/.556/1.009 line for the Dawgs, hitting 37 homers in 60 games, setting the schoolʼs career home run record and the NCAAʼs single-season record since they switched to BBCOR bats. In 109 PA for High-A Spokane, however, Condon hit .180/.248/.270, struck out 34 times (31.1 percent), and walked just four times. Pitchers saw a 6-6 hitter with long levers in the box and went after him hard in with fastballs and https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 53/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic soft away with sliders and changeups. Condon is an impressive athlete who made extremely hard MLB Teams • • • • • • contact as an amateur, ranking among the leaders in Division 1 with a 90th percentile exit velo of 111.8 mph, and he did adjust in the spring when pitchers went after him with breaking stuff, forcing them to come back to the fastballs on which he feasted. Heʼs played third base and all over the outﬁeld, playing passably at the hot corner and in center, but the broad consensus is that heʼs going to end up in right given his frame and likely eventual size. He did have a lingering hand injury when he ﬁrst signed that may have affected him at the plate, but that canʼt explain away all of the struggles. Perhaps he was pressing; perhaps he just hadnʼt seen breaking stuff of that quality before; perhaps itʼs just a tiny sample. I donʼt think his ceiling has changed at all — heʼs a 30-homer bat with the kind of contact quality that leads to high BABIPs and averages, and he should be a plus defender in an outﬁeld corner — but thereʼs more uncertainty here than there was on draft day. Photo:AP Images COLORADO ROCKIES OF"
35,35,Nick,Kurtz,1B,ATHLETICS,"Age: 22 Ht: 6-5 Wt: 240 Bats: L Throws: L https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 54/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Ineligible Kurtz was the best hitter in a loaded Wake Forest lineup last spring, leading the team formerly known as the Oakland Aʼs to take him with the No. 4 pick, after which he continued to rake in his pro debut. He hit .368/.520/763 in 50 PA between High A and Double A, hurt his hamstring, then hit .353/.450/.608 in 60 more PA in the Arizona Fall League. Heʼs limited to ﬁrst base — the horror — so he needs to hit, but so far heʼs hit everywhere, and itʼs especially promising that heʼs been swinging the bat more since he signed, as he walked a ton in college (78 times last spring) and could look passive at the plate. Heʼs up from swinging 33 percent of the time in college to 38 percent in the minors, and thatʼll probably increase a little more as pitchers realize just how good his ball/strike recognition is. When he does swing, he makes extremely hard contact; his 90th percentile exit velocity at Wake Forest was over 111 mph, and he continued to hit the ball hard in his brief time in the minors. Thereʼs a good chance for 30-homer power with 70-80 walks or more per season, and thatʼs going to make him a star and possibly the best player in the Sacra … er, the Athletics lineup. Photo:Getty Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 55/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic ATHLETICS 1B MLB Teams • • • • • •"
36,36,Demetrio,Crisantes,"2B,1B",ARIZONA DIAMONDBACKS,"Age: 20 Ht: 6-0 Wt: 178 Bats: R Throws: R 2024 Ranking: Unranked Arizona took Crisantes in the seventh round in 2022 out of Nogales (Ariz.) High School, just a few minutes from the U.S.-Mexico border, but the inﬁelder didnʼt debut until 2023 or play a game in the ﬁeld until 2024 after he underwent two Tommy John surgeries — the second to repair the ﬁrst — as a high schooler. Through 121 games in the minors, however, heʼs hit .342/.427/.486 with a really mature approach and enough hard contact to project him to a 60 or better hit tool in the majors. Itʼs a really simple, clean swing with a little loft in its ﬁnish, producing a 27.4 percent line- drive rate in 2024, and heʼs strong enough already for well above-average contact quality for a https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 56/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic teenager. (The MLB average line-drive rate in 2024 was 19.6 percent.) His defense is a work in MLB Teams • • • • • • progress between his recovering arm and several years off the ﬁeld; he probably ﬁts best at second base, as heʼs athletic enough for the position and it doesnʼt require a ton from his arm, while he lacks the range for short or the twitchiness for third. Thereʼs always a lot of risk in prospects whose value is primarily tied up in their hit tool — not to be too obvious, but if they donʼt hit for high averages, they have nothing to fall back on — which is why Crisantes isnʼt even higher on this list. Everything about Crisantes, from the swing to the batted-ball data to the performance, says heʼs going to hit a ton. Photo:AP Images ARIZONA DIAMONDBACKS 2B 1B"
37,37,Kyle,Teel,C,CHICAGO WHITE SOX,"Age: 23 Ht: 6-0 Wt: 190 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 57/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 54 Teel was part of the four-player package that Boston sent to the White Sox for lefty Garrett Crochet, and right now he seems like the best bet to be Chicagoʼs primary catcher this year after he ﬁnished 2024 in Triple A. The Red Sox 2023 ﬁrst-round pick out of Virginia, Teel started his ﬁrst full pro season in Double A, hit .299/.390/.462, then moved up to Triple A with Kristian Campbell and hit .255/.374/.343 in 28 games at that last stop. Heʼs an excellent athlete who moves very well behind the plate and has a plus arm, with solid-average speed thatʼs more evident underway than out of the box. He's got quick hands at the plate and a short path to the ball with a little loft in his ﬁnish, way more likely to hit for average than for power given his good-not-great contact quality and the way his swing works. He has had some trouble with lefties in pro ball, striking out 31 percent of the time heʼs faced them in only about 130 PA, and heʼll need more reps against southpaws to avoid becoming a platoon player. His glove is ready, and his bat is at least ready enough to make contact against righties. The White Sox have the luxury of time to let him continue to develop in the majors and hope he reaches his upside of a solid-average or better regular behind the plate. Photo:AP Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 58/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic CHICAGO WHITE SOX C MLB Teams • • • • • •"
38,38,Braden,Montgomery,OF,CHICAGO WHITE SOX,"Age: 22 Ht: 6-2 Wt: 220 Bats: S Throws: R 2024 Ranking: Ineligible Montgomery was No. 4 on my predraft board last year, but slipped to the No. 12 pick after he broke his ankle in Texas A&Mʼs Super Regional series in June. The Red Sox drafted him, although that will become a point of trivia since he never played a single game for Boston before they traded him this offseason to the White Sox in the Garrett Crochet deal, giving Chicago two of the top six players from my 2024 draft board along with their own ﬁrst-round pick, lefty Hagen Smith. Montgomery is a switch-hitter with power both ways, hitting much, much better from the left side, making consistently hard contact — his hard-hit rate last spring for Texas A&M was a nice 69 https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 59/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic percent, putting him in the top 1 percent of all Division 1 hitters. He was a two-way player through MLB Teams • • • • • • his sophomore year at Stanford before he transferred to College Station, so of course he has a plus-plus arm and is at least a 55 defender in right. The two big questions around Montgomery are whether the ankle injury will affect him at all going forward and whether he should give up hitting right-handed, as he struck out 29 percent of the time that way last spring with just a .227/.395/.485 line (versus .355/.465/.819 left-handed). Itʼs 30-homer upside with strong defense and the hard contact to keep his batting average above the median as long as he comes back at 100 percent. Photo:Imagn Images CHICAGO WHITE SOX OF"
39,39,Tink,Hence,RHP,ST. LOUIS CARDINALS,"Age: 22 Ht: 6-1 Wt: 195 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 60/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 73 Hence would be one of the absolute best pitching prospects in baseball if he showed he could stay on the mound for a full season of work, but the 2020 draftee has yet to reach 100 innings in any one season — just pitching extremely well when he is on the mound. Heʼs small, listed at 6-1, 195, but very, very athletic, and his arm is electric. Heʼll touch 98 and sit 94-95 as a starter with a 70 changeup and a slider thatʼs at least average and plays up because itʼs a different look and shape than the other two pitches. Heʼs never had a serious arm injury, missing most of 2021 with shoulder discomfort that never required surgery, losing about a month of 2024 with some kind of strain or pull in his side. He did go 90+ pitches in several starts for the ﬁrst time last year, and posted his best strikeout rate (34.1 percent) and ERA (2.71) of any stint heʼs had in full-season ball. He might be a guy who pitches like a No. 1 or a No. 2 but only does so on the workload of a swingman or a back-end starter, although I never like to underestimate a player whoʼs this athletic. Photo:Getty Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 61/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic ST. LOUIS CARDINALS RHP MLB Teams • • • • • •"
40,40,Chase,Burns,RHP,CINCINNATI REDS,"Age: 22 Ht: 6-3 Wt: 210 Bats: R Throws: R 2024 Ranking: Ineligible Burns was the No. 2 pick in the 2024 draft and the ﬁrst pitcher taken, coming off a dominant spring at Wake Forest that saw him strike out more than 40 percent of opposing batters. His fastball has been up to 100 and sits 96-98 with big induced vertical break, and his slider is a 70 with late, tight break along both axes. College hitters couldnʼt touch the slider, whifﬁng two-thirds of the time they tried (so the lesson is never try). He has a 55 curveball and a straight changeup with some tumble to it that is his weakest pitch, probably his main area for work going forward now that heʼs in pro ball. He has some effort to his delivery, including a slight head-snap, but so https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 62/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic far he hasnʼt had any trouble throwing strikes or locating his main two pitches. If his command MLB Teams • • • • • • and control hold up, heʼs a potential No. 2 starter, and could follow another former Wake Forest pitcher, Rhett Lowder, in reaching the majors inside of 15 months of his draft day. Photo:Imagn Images CINCINNATI REDS RHP"
41,41,Justin,Crawford,OF,PHILADELPHIA PHILLIES,"Age: 21 Ht: 6-2 Wt: 188 Bats: L Throws: R 2024 Ranking: 43 Crawford held serve last year, continuing to hit the ball hard and get on base at a high clip (.360 https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 63/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic overall between High A and Double A), but also continuing to put the ball on the ground 60 MLB Teams • • • • • • percent of the time because his swing has him coming down at the top of the ball. Heʼs a 70 defender in centerﬁeld and an 80 runner who swiped 42 bags in 51 attempts last year and probably could steal 60 without breaking a sweat. He overstrides at the plate, so heʼs frequently off-balance, and doesnʼt load his hands at all from a high setup, resulting in a bat path that often has him coming down towards the zone. Some of this is a matter of strength, as Crawford was all projection when the Phillies drafted him in the ﬁrst round in 2022, and he still has a lot of physical growth ahead of him, but some is mechanical and itʼs time for him to make some real adjustments to get in better position to drive the ball. Heʼs going to have plus raw power, and that combined with elite defense and speed will make him an impact player for a long time if he can change his swing to get that raw power into games. Photo:Getty Images PHILADELPHIA PHILLIES OF"
42,42,Franklin,Arias,SS,BOSTON RED SOX,"Age: 19 Ht: 5-11 Wt: 170 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 64/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked Arias destroyed the Florida Complex League last season as an 18-year-old, hitting .355/.471/.584 to win MVP honors and earn a bump up to Low A, where he more than held his own with a .257/.331/.378 line and just a 17.4 percent strikeout rate. Heʼs got tools and athleticism to spare, showing excellent bat speed and wrist strength already, along with a fantastic swing that has great rhythm to it and lets him get his lower half involved for more power. Heʼs a true shortstop with soft hands and solid instincts already, showing a plus arm and above- average speed on both sides of the ball. Arias just turned 19 in November and probably gets to High A at some point this year, given how good his contact skills are already. He has the upside of a plus defender at short with above-average OBPs and 20 homers a year, with the only major risk just his age and the distance he has to travel to get to the majors. Photo:Getty Images BOSTON RED SOX SS https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 65/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic"
