Rank,Top 100,Pick,Name,Pos,Player Type,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,PlayerId
17,,2025,Luke Stevenson,C,COLh,20.9416666,"6' 1""",200,L,R,North Carolina,,45,Med,"Draft-eligible sophomore who slashed .284/.420/.535 as a freshman. Combo of power and patience, below-average contact. Can pull fastballs at the top of the zone, struggles with stuff down and away. Flexible, low-to-the ground pitch framer and ball-blocker. Precocious in both regards. Raw arm strength is fine, but often takes entirely too long to get rid of the baseball, and often mishandles his exchange. Shot to be a power-over-hit primary catcher if the throwing can be polished.",,sa3043081
18,,2025,Aiva Arquette,SS,COLh,21.7055555,"6' 4""",220,R,R,Oregon State,,45,High,"Arquette transferred to Oregon State after a big sophomore year at Washington. He mostly played second base as a sophomore, but is talented enough to play shortstop. He's a high-waisted guy who tends to play defense more upright than a typical shortstop, but super crafty, balletic defensive actions made him a great second baseman and should carry over to short. Arquette has a lean, rangy frame, and he still has plenty of room for added strength/weight. He has a shot to develop another grade of power while remaining at shortstop. There's notable loft in his bat path, as well as solid bat speed. Arquette has good looking hitting hands and has posted contact rates above the college average so far, but his lever length will likely cause degradation in this area in pro ball. You have to project on his defense a little bit (as of the start of the 2025 season) because we haven't seen Arquette's arm tested on the left side of the infield, but up-the-middle defenders with this kind of power tend to come off the board in the first round.",,sa3026235
19,,2025,Gustavo Melendez,SS,HSh,17.6972222,"5' 9""",170,L,R,Colegio La Merced (PR),Wake Forest,45,Med,"Compact infielder with big rotational athleticism. Swing has natural loft. Short to the baseball because of his size.Crushes fastballs and diagnoses breaking balls well; had a 2-to-1 ball in play-to-whiff ratio on the showcase circuit. Body is similar to Jett Williams and Kevin McGonigle when they came out — a compact guy whose perceived power ceiling is lower than his big-framed peers — but Melendez's skills and sneaky pop give him a shot to be an everyday middle infielder. Fits at shortstop on defense with plus actions and a nearly plus arm; range is closer to average. Has a better shot to play shortstop than all but a few players in the class, college or pro, should be in the late first round mix when the cement dries on this class. ",,
20,,2025,Kyson Witherspoon,SP,COLp,20.8861111,"6' 2""",205,R,R,Oklahoma,,45,Med,"Spent freshman season at Northwest Florida State before transferring to Oklahoma. Was walk-prone in 80 innings during sophomore year. Delivery last summer with Team USA was much more controlled and starter-like than what it was last spring at OU. Tightly wound athlete with a short, deceptive, vertical arm stroke that appears out of nowhere from behind Witherspoon's head on release, similar to Mark Melancon. Downhill mid-90s fastball with enough carry to play at the top of the zone. Works a cutter and slider off of that to different levels of his glove side. Power upper-80s changeup with bat-missing ability when located, is often too far from the zone to garner swings. Has a starter's mix with relief risk caused by command track record. Will be in the late first round mix if he can throw strikes in 2025.",,sa3045487
21,,2025,Chase Shores,SP,COLp,21.1111111,"6' 8""",245,R,R,LSU,,45,High,"Shores is a surface-scratching 6-foot-8 righty with upper-90s arm strength, and a large, athletic, projectable frame. He's put together like a lot of 6-foot-2 pitching prospects, with a well-composed, angular build, except he's six inches taller. Shores missed the majority of 2023 and all of 2024 recovering from TJ, and pitched in a swingman capacity as a freshman before he blew out. He boasts an exceptionally quick arm with fluid movements. Shores' mechanics get him to a low arm slot, but he's so big that his pitches still have downward angle in addition to their natural tail. His fastball sat in the upper-90s and touched triple digits prior to his surgery. There's a big error bar around understanding and projecting the efficacy of Shores' fastball, as well as how his velocity will hold up under a starter's load of innings, and the same is true of his secondary stuff. He threw his fastball more than 80% of the time in 2023; a low-90s changeup with grounder-getting action and a fringy, one-planed slider were a more present part of his mix on the high school showcase circuit than in college. He touched 98 during a fall scrimmage. He'll enter his draft spring as a prospect of extreme variance, but he has the stuff to go in the top 10 if he can stay healthy and flesh out his repertoire.",,sa3042212
22,,2025,Liam Doyle,SP,COLp,21.0777777,"6' 2""",220,L,L,Tennessee,,45,High,"Doyle stormed onto the scene to start the year and is looking like one of the top pitching prospects in the entire class. He’s had a nomadic career so far, spending his freshman year at Coastal Carolina before transferring Ole Miss as a sophomore before he became the Friday Night guy at Tennessee. What makes Doyle special is his fastball, which sits in the mid-90s, tops out at 99 mph, and boasts a unique movement profile. He routinely gets over 20 inches of vertical break on it to go with 13 inches of horizontal break, and he generates a shallow approach angle that helps it play up even more. For a variety of reasons, college pitch metrics tend to overstate the amount of movement a pitch will have once a player gets into affiliated ball, but it’s one of the best fastballs in college baseball. Doyle uses his heater around 70% of the time, but he does have a slider and a changeup. The slider has more lateral break with hard bite, and he rips off a nice changeup with late fade. Both pitches are interesting but inconsistent, with the changeup the slightly better pitch despite Doyle throwing it less often. Doyle has a high-effort delivery and scattershot command. He has substantial relief risk, but would probably be a really good one if it comes to that. He's a high-variance prospect.",,sa3030545
23,,2025,Kruz Schoolcraft,SP,HSp,18.2027777,"6' 8""",220,L,L,Sunset HS (OR),Tennessee,45,High,"Amazing grace and fluidity for his size, plays the game low to the ground for a 6-foot-8 guy. Coasting with quality fastball strikes at 91-94, touched 96 at Area Codes, sat 95-97 in the PG All-American game. Secondary stuff is not especially nasty right now. Shows an above-average low-80s slider on occasion; changeup resides in low-80s and is often a shade below average. Monster fastball (shape probably needs a tweak), command and durability projection, shot to be an impact starter even if the secondary pitches are only ever fine.",,
24,,2025,Max Belyeu,RF,COLh,21.5444444,"6' 2""",210,L,R,Texas,,45,High,"Lean, athletic framed outfielder with plus arm strength. Lofty path and solid bat speed generate over-the-wall power to all-fields. Struck out just 17% of the time in 2024 and hit for above-average power, then didn't perform on the Cape. Offensive profile is the headliner of the package, although there's a notable red flag in his tendency to chase spin out of the zone. Potential value on both sides of the ball.",,sa3026937
25,,2025,Devin Taylor,LF,COLh,21.4861111,"6' 0""",215,L,R,Indiana,,45,Med,"Enters his draft spring with a career OPS over 1.000 after he performed well on the Cape last summer. Fantastic feel for all-fields contact, can drive pitches on the outer third to the opposite field with power and turn on pitches on the inner half. Can adjust hands and upper body posture to put the barrel on the ball. Swing is bottom-hand dominant a lot of the time and causes him to swing underneath well-located fastballs up and away from him. Feel to hit will allow him to get to power, but there might be a hole pro pitchers can exploit that causes his strikeouts to spike in upper-level pro ball. Terrible outfield defender, might just be a DH. Among the more stable hitters in the draft and a likely first round pick.",,sa3043560
26,,2025,Henry Ford,RF,COLh,20.9277777,"6' 5""",220,R,R,Virginia,,45,Low,"Draft-eligible sophomore who slashed .336/.409/.597 as a freshman. Well-built 6-foot-5, 200 pound guy with corner infield experience. Moving to the outfield for his draft year. Lever length and late-triggering hands creates an inside-out nature to ball-in-play profile; much more apt to pull breaking balls with authority than fastballs. Has explosive hands and bat speed, some feel to hit, and power that's already shown up in game action. Showed below-average plate discipline as a freshman, but the tools and projection foundation here is exciting and features a lot of power now, and probably more in the future. A first round prospect entering 2025.",,sa3031540
27,,2025,Murf Gray,3B,COLh,21.5027777,"6' 4""",210,R,R,Fresno State,,45,Med,"Triston ""Murf"" Gray — you might see him listed as either depending on where you're looking — is a mid-major performer who posted a 60-grade contact rate and 70-grade in-zone contact rate in 2024, and backed up those metrics on Cape Cod. A relatively upright hitter in the box, his swing has natural loft through the down-and-in portion of the zone. Gray can adjust his posture and path enough to cover fastballs at the top of the strike zone, but not with power. He is best at driving fastballs in the bottom of the zone toward both gaps, and is in the Matt Vierling/Justyn-Henry Malloy area in terms of swing path. Gray is an inconsistent third base defender, but has great natural bend. He's a skilled short-hop fielder who too often positions himself for the bigger hop. The long-term ceiling on the defense and arm strength here is pretty exciting. Gray has a second-division regular look at third base.",,sa3032619
28,,2025,Daniel Dickinson,2B,COLh,21.5722222,"6' 1""",195,R,R,LSU,,45,High,"Transferred from Utah Valley to LSU after two consecutive years with OPS over 1.000 for the Wolverines. Twitchy, explosive, rare capacity for movement. Not all that different than Dylan Crews in terms of bat speed and rotational athleticism. Questionable timing and feel to hit. Flashed in-game power with Team USA but did not hit on Cape Cod. Possible that more reps to adjust to tougher competition or a swing change might help keep Dickinson on time more often. High-variance prospect with enormous offensive potential. Versatile, inoffensive infield defender who has played mostly second base. Has had some spectacular flashes at third. Has some right tail outcomes if something clicks with the hit tool, more power-over-hit superutility type if it doesn't.",,sa3030286
29,,2025,Tate Southisene,SS,HSh,18.7361111,"5' 11""",170,R,R,Basic HS (NV),USC,45,High,"Ultra-twitchy, multi-positional athlete. Will run 4.15-ish to first. Has the speed to develop in center field, and the arm and athleticism to play shortstop. Smaller-framed guy with an amazing whole-body swing. Super aggressive leg kick and stride, hands have great rhythm despite how active they are before Southisene swings. Will occasionally turn on fastballs but tends to spray hard contact all over the place. Posted a 78% contact rate combined in 2023 and 2024, was a little worse than that if you isolate 2024. Might end up as a superutility type due to elevated strikeouts, but has a rare combo of tools, athleticism, and a decent enough contact track record to be considered a late first rounder.",,
30,,2025,Gavin Kilen,2B,COLh,21.2583333,"6' 0""",180,L,R,Tennessee,,45,Low,"Transferred from Louisville to Tennessee after two years with the Cardinals. Plus lefty contact bat without much power. Really loose hitting hands, tracks pitches well and moves bat around the zone. Modest raw power, has doubles pop thanks to consistent contact quality but is unlikely to hit 20-plus bombs. Arm strength and athleticism are a little short of what's typical at shortstop, where Kilen played at Louisville. More of a second base look for pro ball. Needs to hit enough to be a regular second baseman barring unforeseen defensive versatility.",,sa3035353
31,,2025,Brady  Ebel,SS,HSh,17.9333333,"6' 3""",190,L,R,Corona HS (CA),LSU,45,Low,"Skills-over-tools type with medium build. Short to the ball, stroke is always under control, routinely squares pitches at the top of the zone. Lower half is often very upright, making lower pitches tougher for Ebel to square up. Doubles power, might not have a ton more at peak. Fundamentally sound shortstop defender with soft, sure hands and sufficient arm. Among the lower-variance high school prospects.",,
32,,2025,Eli Willits,SS,HSh,17.5611111,"6' 1""",165,S,R,Fort Cobb-Broxton HS (OK),Oklahoma,45,Med,"Reclassified from the 2026 class, will be comfortably shy of 18 on draft day. Electric shortstop actions. Lightning-fast transfer with plus range. Arm strength should be sufficient for shortstop at physical maturity. Premium contact performance on the showcase circuit. Visual evaluation of Willits' feel to hit is not as exceptional as his numbers, but is still pretty strong. Swing is not always well-connected; puts the ball in play a ton but it's not often scorched. Medium frame; power projection is modest. Lower-ceiling'd, contact-oriented middle infielder.",,
33,,2025,Henry Godbout ,2B,COLh ,21.6527777,"6' 2""",190,R,R,Virginia ,,45,High,"Quick-handed second base-only prospect with middling power. Buttons fastballs as well as any college hitter and is usually on time to pull the ball; can turn on pitches tailing in around his hands à la Cody Ross. Had a 94% contact rate versus heaters in 2024. Should get to whatever power he has by virtue of contact talent and pull/lift ability, but doesn't have a ton of raw juice; had a 106 mph max exit velo in 2024. Below-average range at second base, but makes up for it with skillful and accurate throwing. Probably a second base-only fit on the infield, might explore outfield in pro ball to increase versatility since Godbout lacks the power of an everyday second baseman. Stock will elevate if he demonstrates more power.",,sa3032331
34,,2025,Ike Irish,C,COLh,21.5972222,"6' 2""",210,L,R,Auburn,,40+,Med,"Irish has slashed .343/.417/.582 in his two underclass seasons while playing a mix of catcher, first base, and a little bit of right field. His front side tends to bail during his swing, leaving him very vulnerable to whiffs on the outer third. Despite this, he's posted roughly average contact metrics to this point, and plus (for college) power. If the contact portion slips in pro ball, it will be more important for Irish to develop as a defender. He's a fair receiver and pitch framer, but not a good ball-blocker right now. On his clean throws to second, he'll pop close to 1.90, but Irish often fumbles his exchange. He has a shot to go in the first round; SEC catchers who perform on offense tend to. This pre-season grade acknowledges his everyday upside but is slightly more apprehensive about his bat-to-ball skills holding up against pro stuff.",,sa3034445
35,,2025,Joseph Parker,LF,HSh,18.8972222,"6' 2""",195,L,R,Purvis HS (MS),Mississippi State,40+,High,"Explosive lefty power bat with a (somewhat small sample) contact performance that reinforces confidence in Parker's ability to access his power. Sweeping bat path similar to Walker Jenkins and Brady Ebel. Has worked out at shortstop, but a boxy frame and below-average mobility and hands will probably push him to the outfield, where it's tougher to profile.",,
36,,2025,Landon Harmon,SP,HSp,18.8111111,"6' 5""",190,R,R,East Union HS (MS),Mississippi State,40+,High,"Broad-shouldered 6-foot-5 pitcher's frame with lots of room for strength without altering mobility. Fastball features explosive rise/run life when located to the correct part of the zone and above. Was routinely 94-97 mph late in the summer and fall of 2024. Harmon's upper-70s breaking ball has a shape that fits nicely with the rise/run nature of his heater, but it lacks the power and bite of a truly plus pitch. Will likely be given an explicit sweeper on entry to pro ball. No changeup feel, arm action is long and potentially a second bit of low-hanging fruit for dev. Secondary stuff requires more projection than most exciting high schoolers, but the ceiling on Harmon's fastball is enormous, and the paths to developing his secondary stuff are well tread throughout the league.",,
38,,2025,Angel Cervantes,SP,HSp,17.8611111,"6' 3""",195,R,R,Warren HS (CA),UCLA,40+,High,"Generates incredible arm speed, with as loose and whippy an arm action as there is in the class. Huge hop down the mound, big extension with the potential for nasty uphill movement. Fastball tends to sink and tail right now. Two-planed, sweeper-shaped slider in the upper 70s, projects to plus. Would piece together nicely with a more consistent four-seam version of Cervantes' fastball; he'll likely have both two- and four-seam versions at maturity. Tailing, plus-flashing changeup in the upper-70s. Release is inconsistent right now, and there's relief risk here, but to expect Cervantes (who arguably has reverse projection and might take a leap if his conditioning does) to have feel for release at this stage feels overzealous. Big-ceiling'd pitching prospect with great fastball/breaker foundation.",,
39,,2025,Coy James,SS,HSh,18.375,"6' 0""",185,R,R,Davie County HS (NC),Ole Miss,40+,High,"Athletic shortstop with impressive power. Muscular but loose and mobile. Terrific low-to-the-ground defender, has the arm strength for shortstop but needs to polish accuracy. Strikeout issues plagued him on the showcase circuit, where he ran a 69% contact rate. Swing is loose and explosive but isn't always well-connected or well-timed. Bottom-hand dominant swing that works best when James can get extended. Thunderous power in his wrists and hands. Defensive fit at shortstop should allow room for elevated strikeouts as long as James is getting to power. Right tail outcome is akin to a Trevor Story type of offensive performance.",,
40,,2025,Gabe Davis,SP,COLp,21.6944444,"6' 7""",225,R,R,Oklahoma State,,40+,Med,"Davis mostly worked in relief as an underclassman. As a sophomore, he was used in a swingman and long relief role and threw 45.1 innings. A 6-foot-9 construction crane, Davis sat 94-96 during the regular season and then 95-99 with Team USA during the summer. His fastball has tailing shape and runs downhill due to Davis' size and the upright nature of his lower body during his delivery. His changeup was his third-most used pitch in 2024, but projects to be his best secondary, as it has late, bat-missing sink. He struggles to get his slider to his glove side, and is much more comfortable landing it in the zone for a strike. Davis could just be scratching the surface due to his limited underclass role and late-bloomer size. He needs to polish his control, as he has walked a batter every other inning during his college career. Davis has some similarities with Doug Fister in terms of his size and sinking stuff, and could work his way into he first round with a more efficient 2025.",,
41,,2025,Cam Appenzeller,SP,HSp,18.4527777,"6' 5""",180,L,L,Glenwood HS (IL),Tennessee,40+,High,"Super-projectable lefty with a loose, effortless delivery. Fastball sits around 90 mph right now and could tick up as he fills out. Low-ish slot can make it tough for Appenzeller to get on top of his upper-70s slider and create bat-missing depth, but that pitch has good length. Arm action and general mechanical fluidity portend changeup growth. Backend stuff right now, ceiling will be dictated by how Appenzeller's velocity and stuff trend as his body matures.",,
,,,Matthew Fisher,SP,HSp,,,,,,,,,,,,
,,,Jack Bauer,SP,HSp,,,,,,,,,,,,
42,,2025,Harrison Didawick,CF,COLh,22.0194444,"6' 4""",215,L,L,Virginia,,40+,High,"Big-framed lefty power bat who slashed .292/.414/.642 with 23 homers in 2024. Limited feel to hit — 76% zone contact, 69% contact overall, very vulnerable to well-located fastballs at the belt. High-risk hit tool. Rare combination of present power and power projection. Well-built 6-foot-4, plus bat speed. Runs well enough to give center field a try in pro ball. Toolshed of extreme variance.",,sa3030296
