Avail,Player,MLB,Eligible,Rank
Northern Virginia River Rats,Casey Mize SP | DET ,A,SP,64
W ( 4/15),Max Kranick RP | NYM,A,RP,65
Northern Virginia River Rats,"Andre Pallante RP,SP | STL ",A,"RP,SP",67
Southern Playaz,Justin Steele SP | CHC ,IL,SP,70
Midlothian DeadHeads,Joe Ryan SP | MIN ,A,SP,72
Fairfax Flying Squirrels,Framber Valdez SP | HOU,A,SP,73
W ( 4/15),"Daniel Lynch RP,SP | KC",A,"RP,SP",74
Lewisberg All Blacks,Taj Bradley SP | TB ,A,SP,75
Fairfax Flying Squirrels,Zach Eflin SP | BAL ,IL,SP,77
East Carolina Bucs,Anthony Banda RP | LAD,A,RP,79
Lewisberg All Blacks,Sonny Gray SP | STL ,A,SP,80
Centreville Blue Sox,"Hayden Wesneski RP,SP | HOU ",A,"RP,SP",81
Southern Playaz,Martin Perez SP | CHW ,A,SP,82
Fairfax Flying Squirrels,Paul Skenes SP | PIT ,A,SP,84
W ( 4/15),Wandy Peralta RP | SD ,A,RP,86
Centreville Blue Sox,Justin Martinez RP | ARI ,A,RP,95
Northern Virginia River Rats,Max Meyer SP | MIA ,A,SP,97
W ( 4/15),Jack Dreyer RP | LAD,A,RP,98
Fairfax Flying Squirrels,Mitchell Parker SP | WAS ,A,SP,99
Midlothian DeadHeads,Pablo Lopez SP | MIN ,IL,SP,102
W ( 4/15),Jalen Beeks RP | ARI,A,RP,104
Wrigleyville Fielders,Zack Wheeler SP | PHI ,A,SP,107
Fairfax Flying Squirrels,MacKenzie Gore SP | WAS ,A,SP,108
Lewisberg All Blacks,Matthew Boyd SP | CHC ,A,SP,109
South Carolina Ballcocks,Emilio Pagan RP | CIN ,A,RP,112
South Carolina Ballcocks,Brandon Pfaadt SP | ARI ,A,SP,113
Levittown Panthers,Shane Baz SP | TB ,A,SP,114
W ( 4/15),Randy Rodriguez RP | SF,A,RP,115
East Carolina Bucs,Ryan Walker RP | SF ,A,RP,121
Northern Virginia River Rats,Carlos Estevez RP | KC ,A,RP,122
Lewisberg All Blacks,Luis Castillo SP | SEA,A,SP,123
Wrigleyville Fielders,Mason Miller RP | ATH ,A,RP,124
W ( 4/15),Phil Maton RP | STL ,A,RP,128
W ( 4/15),Hoby Milner RP | TEX ,A,RP,129
W ( 4/15),Kirby Yates RP | LAD ,A,RP,130
W ( 4/15),Shelby Miller RP | ARI,A,RP,133
Northern Virginia River Rats,Taijuan Walker SP | PHI ,A,SP,134
W ( 4/15),Tony Santillan RP | CIN ,A,RP,136
Midlothian DeadHeads,Kenley Jansen RP | LAA ,A,RP,137
Levittown Panthers,"Matthew Liberatore RP,SP | STL ",A,"RP,SP",138
Fairfax Flying Squirrels,Pete Fairbanks RP | TB ,A,RP,139
W ( 4/15),John Brebbia RP | DET,A,RP,142
W ( 4/15),Steven Okert RP | HOU,A,RP,143
W ( 4/15),Bryan Baker RP | BAL ,A,RP,145
W ( 4/15),Ryan Gusto SP | HOU ,A,SP,146
W ( 4/15),Tim Herrin RP | CLE ,A,RP,148
Iowa Cubs,Andrew Heaney SP | PIT ,A,SP,151
W ( 4/15),Joe Boyle SP | TB ,A,SP,153
W ( 4/15),Tyler Anderson SP | LAA ,A,SP,154
Midlothian DeadHeads,Tanner Scott RP | LAD ,A,RP,156
South Carolina Ballcocks,"Shane Smith RP,SP | CHW ",A,"RP,SP",157
W ( 4/15),Bryan King RP | HOU,A,RP,160
W ( 4/15),Justin Lawrence RP | PIT ,A,RP,162
W ( 4/15),Seranthony Dominguez RP | BAL ,A,RP,165
Levittown Panthers,Jose Quintana SP | MIL ,A,SP,166
W ( 4/15),Joey Wentz RP | PIT,A,RP,168
Southern Playaz,Kyle Finnegan RP | WAS ,A,RP,172
W ( 4/15),Paul Sewald RP | CLE,A,RP,174
W ( 4/15),Kyle Leahy RP | STL ,A,RP,175
Wrigleyville Fielders,Sandy Alcantara SP | MIA ,A,SP,177
W ( 4/15),Yimi Garcia RP | TOR,A,RP,178
W ( 4/15),Chad Patrick SP | MIL ,A,SP,180
W ( 4/15),Huascar Brazoban RP | NYM,A,RP,181
W ( 4/15),Tyler Rogers RP | SF ,A,RP,182
W ( 4/15),"Brennan Bernardino RP,SP | BOS",A,"RP,SP",183
South Carolina Ballcocks,Cristopher Sanchez SP | PHI ,A,SP,184
W ( 4/15),Anthony Bender RP | MIA ,A,RP,187
W ( 4/15),Justin Sterner RP | ATH,A,RP,189
W ( 4/15),Abner Uribe RP | MIL,A,RP,190
Northern Virginia River Rats,David Peterson SP | NYM ,A,SP,192
South Carolina Ballcocks,Jeffrey Springs SP | ATH ,A,SP,194
W ( 4/15),Gabe Speier RP | SEA,A,RP,195
W ( 4/15),Ronny Henriquez RP | MIA ,A,RP,198
W ( 4/15),Randy Vasquez SP | SD ,A,SP,199
W ( 4/15),Will Vest RP | DET ,A,RP,200
Midlothian DeadHeads,Carlos Rodon SP | NYY ,A,SP,201
W ( 4/15),"Tyler Alexander RP,SP | MIL ",A,"RP,SP",206
W ( 4/15),Jeremiah Estrada RP | SD ,A,RP,207
Centreville Blue Sox,Tarik Skubal SP | DET ,A,SP,208
W ( 4/15),Mark Leiter RP | NYY ,A,RP,209
South Carolina Ballcocks,Hayden Birdsong SP | SF ,A,SP,212
W ( 4/15),Chad Green RP | TOR,A,RP,213
Southern Playaz,"Jackson Jobe RP,SP | DET ",A,"RP,SP",214
W ( 4/15),Ryan Zeferjahn RP | LAA,A,RP,216
W ( 4/15),Kyle Hart SP | SD ,A,SP,218
Centreville Blue Sox,Porter Hodge RP | CHC,A,RP,219
Richmond Hippies,"A.J. Puk RP,SP | ARI ",A,"RP,SP",220
Fairfax Flying Squirrels,Luke Weaver RP | NYY,A,RP,223
Midlothian DeadHeads,Cade Smith RP | CLE ,A,RP,224
W ( 4/15),Mike Vasil SP | CHW,A,SP,225
Iowa Cubs,Robert Garcia RP | TEX,A,RP,227
W ( 4/15),"Tyler Holton RP,SP | DET ",A,"RP,SP",227
W ( 4/15),"Jared Koenig RP,SP | MIL",A,"RP,SP",232
Northern Virginia River Rats,JP Sears SP | ATH ,A,SP,233
Wrigleyville Fielders,Luke Jackson RP | TEX,A,RP,234
W ( 4/15),"Jose Butto RP,SP | NYM",A,"RP,SP",236
W ( 4/15),Hunter Harvey RP | KC ,IL,RP,239
Lewisberg All Blacks,Dustin May SP | LAD,A,SP,240
W ( 4/15),Ryne Nelson SP | ARI ,A,SP,241
Iowa Cubs,Seth Lugo SP | KC ,A,SP,242
W ( 4/15),Michael Lorenzen SP | KC ,A,SP,243
W ( 4/15),Matt Strahm RP | PHI ,A,RP,244
Midlothian DeadHeads,Andrew Abbott SP | CIN ,A,SP,245
Centreville Blue Sox,Lucas Erceg RP | KC,A,RP,249
South Carolina Ballcocks,Tommy Kahnle RP | DET ,A,RP,250
W ( 4/15),Cole Sands RP | MIN,A,RP,252
W ( 4/15),Carlos Vargas RP | SEA,A,RP,256
Levittown Panthers,"Bowden Francis RP,SP | TOR ",A,"RP,SP",257
W ( 4/15),"Jake Junis RP,SP | CLE",A,"RP,SP",258
W ( 4/15),Brent Headrick RP | NYY,M,RP,259
W ( 4/15),"Louie Varland RP,SP | MIN ",A,"RP,SP",260
Lewisberg All Blacks,Tyler Glasnow SP | LAD ,A,SP,265
W ( 4/15),J.T. Ginn SP | ATH ,A,SP,267
W ( 4/15),Colin Rea SP | CHC ,A,SP,269
Southern Playaz,Chris Martin RP | TEX ,A,RP,270
East Carolina Bucs,Gavin Williams SP | CLE ,A,SP,272
W ( 4/15),Joey Cantillo SP | CLE,A,SP,276
W ( 4/15),Ryan Feltner SP | COL ,A,SP,277
W ( 4/15),Yennier Cano RP | BAL ,A,RP,278
W ( 4/15),Yoendrys Gomez RP | NYY ,A,RP,279
W ( 4/15),Jacob Webb RP | TEX,A,RP,280
W ( 4/15),Tyler Gilbert RP | CHW,A,RP,281
W ( 4/15),Yuki Matsui RP | SD,A,RP,282
Midlothian DeadHeads,Will Warren SP | NYY ,A,SP,283
W ( 4/15),Camilo Doval RP | SF,A,RP,284
W ( 4/15),Adrian Morejon RP | SD,A,RP,286
W ( 4/15),Tim Hill RP | NYY,A,RP,291
Centreville Blue Sox,Ryan Pepiot SP | TB ,A,SP,292
W ( 4/15),Lake Bachar RP | MIA ,A,RP,294
Midlothian DeadHeads,Zac Gallen SP | ARI ,A,SP,295
Northern Virginia River Rats,Erick Fedde SP | STL ,A,SP,297
W ( 4/15),Ryne Stanek RP | NYM,A,RP,298
South Carolina Ballcocks,Richard Fitts SP | BOS ,IL,SP,301
Northern Virginia River Rats,Chase Dollander SP | COL ,A,SP,302
Lewisberg All Blacks,Raisel Iglesias RP | ATL ,A,RP,303
Lewisberg All Blacks,Hunter Gaddis RP | CLE,A,RP,304
Fairfax Flying Squirrels,Alex Vesia RP | LAD,A,RP,306
W ( 4/15),Steven Matz SP | STL ,A,SP,307
W ( 4/15),Ethan Roberts RP | CHC ,A,RP,308
Richmond Hippies,Daysbel Hernandez RP | ATL,A,RP,309
W ( 4/15),"Graham Ashcraft RP,SP | CIN ",A,"RP,SP",310
Levittown Panthers,Spencer Arrighetti SP | HOU ,IL,SP,313
W ( 4/15),Brant Hurter RP | DET ,A,RP,315
Levittown Panthers,"Osvaldo Bido RP,SP | ATH ",A,"RP,SP",318
Lewisberg All Blacks,Edwin Diaz RP | NYM ,A,RP,319
W ( 4/15),"Erik Miller RP,SP | SF ",A,"RP,SP",320
Iowa Cubs,Blake Treinen RP | LAD ,A,RP,321
W ( 4/15),Cameron Booser RP | CHW,A,RP,323
W ( 4/15),Nick Mears RP | MIL,A,RP,324
W ( 4/15),"Jose Suarez RP,SP | ATL",A,"RP,SP",326
W ( 4/15),John Schreiber RP | KC,A,RP,327
Richmond Hippies,Mitch Keller SP | PIT ,A,SP,329
W ( 4/15),"Shawn Armstrong RP,SP | TEX",A,"RP,SP",330
W ( 4/15),Trent Thornton RP | SEA,A,RP,331
W ( 4/15),Brock Burke RP | LAA,A,RP,332
W ( 4/15),Caleb Ferguson RP | PIT,A,RP,335
W ( 4/15),Danny Coulombe RP | MIN,A,RP,338
W ( 4/15),Orion Kerkering RP | PHI ,A,RP,339
W ( 4/15),Reed Garrett RP | NYM,A,RP,342
W ( 4/15),Justin Topa RP | MIN,A,RP,343
Southern Playaz,Luis Severino SP | ATH ,A,SP,346
Levittown Panthers,"Ben Brown RP,SP | CHC ",A,"RP,SP",347
W ( 4/15),Manuel Rodriguez RP | TB,A,RP,348
W ( 4/15),A.J. Minter RP | NYM,A,RP,351
W ( 4/15),Matt Bowman RP | BAL,A,RP,352
W ( 4/15),JoJo Romero RP | STL,A,RP,353
W ( 4/15),Tyler Ferguson RP | ATH,A,RP,354
Wrigleyville Fielders,Ryan Helsley RP | STL ,A,RP,355
Richmond Hippies,"Clay Holmes RP,SP | NYM",A,"RP,SP",357
W ( 4/15),Simeon Woods Richardson SP | MIN ,A,SP,358
W ( 4/15),Dylan Lee RP | ATL ,A,RP,360
W ( 4/15),Luis Peralta RP | COL,A,RP,362
Centreville Blue Sox,Dennis Santana RP | PIT,A,RP,364
W ( 4/15),"Garrett Whitlock RP,SP | BOS",A,"RP,SP",367
South Carolina Ballcocks,David Festa SP | MIN ,A,SP,368
Midlothian DeadHeads,Jhoan Duran RP | MIN ,A,RP,369
Iowa Cubs,Eduardo Rodriguez SP | ARI ,A,SP,371
W ( 4/15),Grant Anderson RP | MIL,A,RP,374
W ( 4/15),"Connor Gillispie RP,SP | MIA",A,"RP,SP",375
Wrigleyville Fielders,Tanner Bibee SP | CLE ,A,SP,377
W ( 4/15),Brendon Little RP | TOR,A,RP,379
W ( 4/15),"Brenan Hanifee RP,SP | DET",A,"RP,SP",380
Northern Virginia River Rats,Griffin Canning SP | NYM ,A,SP,383
Wrigleyville Fielders,Walker Buehler SP | BOS ,A,SP,387
Richmond Hippies,Emmanuel Clase RP | CLE ,A,RP,388
W ( 4/15),Davis Martin SP | CHW ,A,SP,390
W ( 4/15),Ryan Thompson RP | ARI,A,RP,392
W ( 4/15),Scott Blewett RP | MIN ,A,RP,393
W ( 4/15),"Fernando Cruz RP,SP | NYY ",A,"RP,SP",395
W ( 4/15),"Darren McCaughan RP,SP | MIN ",A,"RP,SP",396
W ( 4/15),Tyler Phillips SP | MIA,A,SP,401
W ( 4/15),"Zack Kelly RP,SP | BOS",A,"RP,SP",402
W ( 4/15),Bryce Jarvis RP | ARI,A,RP,405
East Carolina Bucs,Jose Berrios SP | TOR ,A,SP,406
W ( 4/15),Randy Dobnak RP | MIN,A,RP,407
W ( 4/15),Garrett Cleavinger RP | TB,A,RP,409
W ( 4/15),Mason Englert RP | TB,A,RP,410
W ( 4/15),Hunter Dobbins SP | BOS,M,SP,414
W ( 4/15),"Joe Ross RP,SP | PHI ",A,"RP,SP",416
W ( 4/15),Nick Sandlin RP | TOR ,A,RP,417
Iowa Cubs,"Jordan Hicks RP,SP | SF ",A,"RP,SP",418
W ( 4/15),Michael Petersen RP | ATL ,A,RP,421
W ( 4/15),Spencer Bivens RP | SF,A,RP,423
Levittown Panthers,Ryan Pressly RP | CHC ,A,RP,425
W ( 4/15),Enyel De Los Santos RP | ATL,A,RP,426
W ( 4/15),Brad Keller RP | CHC,A,RP,427
W ( 4/15),Gregory Soto RP | BAL ,A,RP,428
W ( 4/15),Tim Mayza RP | PIT,A,RP,429
W ( 4/15),Chase Shugart RP | PIT ,M,RP,430
Midlothian DeadHeads,Mason Montgomery RP | TB,A,RP,431
Lewisberg All Blacks,Jacob deGrom SP | TEX ,A,SP,434
W ( 4/15),Reid Detmers SP | LAA,A,SP,435
W ( 4/15),Greg Weissert RP | BOS,A,RP,435
W ( 4/15),Eduard Bazardo RP | SEA,A,RP,437
W ( 4/15),Lou Trivino RP | SF,A,RP,438
Richmond Hippies,Jameson Taillon SP | CHC,A,SP,439
Iowa Cubs,Blake Snell SP | LAD ,IL,SP,440
Southern Playaz,Ben Joyce RP | LAA ,IL,RP,441
W ( 4/15),Justin Slaten RP | BOS,A,RP,442
W ( 4/15),Jack Kochanowicz SP | LAA ,A,SP,444
Levittown Panthers,Kyle Freeland SP | COL ,A,SP,445
W ( 4/15),"Landen Roupp RP,SP | SF ",A,"RP,SP",448
W ( 4/15),Kyle Hendricks SP | LAA ,A,SP,450
W ( 4/15),Casey Lawrence RP | SEA ,A,RP,451
W ( 4/15),Sean Burke SP | CHW ,A,SP,452
W ( 4/15),Tanner Banks RP | PHI,A,RP,455
South Carolina Ballcocks,"Luis Ortiz RP,SP | CLE ",A,"RP,SP",456
W ( 4/15),Steven Cruz RP | KC ,A,RP,458
W ( 4/15),Gregory Santos RP | SEA,A,RP,459
W ( 4/15),Kevin Kelly RP | TB ,IL,RP,461
W ( 4/15),Jacob Bird RP | COL,A,RP,462
W ( 4/15),Rafael Montero RP | ATL,A,RP,463
South Carolina Ballcocks,Tomoyuki Sugano SP | BAL ,A,SP,464
Iowa Cubs,Edward Cabrera SP | MIA ,A,SP,465
W ( 4/15),Ryan Yarbrough RP | NYY,A,RP,467
W ( 4/15),Bryan Hudson RP | MIL,A,RP,468
W ( 4/15),"Brent Suter RP,SP | CIN",A,"RP,SP",471
W ( 4/15),Jesus Tinoco RP | MIA ,A,RP,473
Centreville Blue Sox,Yusei Kikuchi SP | LAA ,A,SP,474
W ( 4/15),Logan VanWey RP | HOU,A,RP,476
W ( 4/15),Fraser Ellard RP | CHW ,IL,RP,477
W ( 4/15),Ian Gibaut RP | CIN,A,RP,479
W ( 4/15),"Josh Winckowski RP,SP | BOS",A,"RP,SP",480
W ( 4/15),"Carson Spiers RP,SP | CIN",M,"RP,SP",481
W ( 4/15),Hunter Bigge RP | TB,A,RP,482
W ( 4/15),Griffin Jax RP | MIN,A,RP,484
Northern Virginia River Rats,Roddery Munoz SP | STL ,A,SP,485
Northern Virginia River Rats,Trevor Megill RP | MIL ,A,RP,486
W ( 4/15),Julian Merryweather RP | CHC,A,RP,487
W ( 4/15),Keegan Akin RP | BAL ,A,RP,488
Fairfax Flying Squirrels,Ronel Blanco SP | HOU ,A,SP,489
W ( 4/15),Ryan Johnson SP | LAA,A,SP,490
W ( 4/15),Jesse Hahn RP | SEA ,A,RP,491
W ( 4/15),Taylor Rogers RP | CIN,A,RP,493
W ( 4/15),Jhonathan Diaz RP | SEA,M,RP,495
W ( 4/15),Zach Thompson SP | ATL ,A,SP,495
W ( 4/15),Alek Jacob RP | SD ,A,RP,499
W ( 4/15),Cole Henry SP | WAS ,A,SP,500
W ( 4/15),"Bryse Wilson RP,SP | CHW",A,"RP,SP",502
W ( 4/15),Valente Bellozo SP | MIA ,M,SP,503
Southern Playaz,Quinn Priester SP | MIL ,A,SP,504
W ( 4/15),Jordan Leasure RP | CHW,A,RP,505
W ( 4/15),Ryan Borucki RP | PIT,A,RP,508
Levittown Panthers,Seth Halvorsen RP | COL ,A,RP,512
Northern Virginia River Rats,Ben Lively SP | CLE ,A,SP,516
Levittown Panthers,Michael Wacha SP | KC ,A,SP,517
W ( 4/15),Mason Fluharty RP | TOR,A,RP,519
W ( 4/15),Jimmy Herget RP | COL,A,RP,520
South Carolina Ballcocks,"Grant Holmes RP,SP | ATL ",A,"RP,SP",523
W ( 4/15),Brad Lord SP | WAS ,A,SP,525
W ( 4/15),Adam Ottavino RP | NYY ,A,RP,528
Fairfax Flying Squirrels,Felix Bautista RP | BAL ,A,RP,529
W ( 4/15),Justin Wilson RP | BOS,A,RP,530
Richmond Hippies,Bryce Miller SP | SEA ,A,SP,532
W ( 4/15),Jackson Rutledge RP | WAS,A,RP,533
W ( 4/15),Bennett Sousa RP | HOU ,A,RP,534
W ( 4/15),Penn Murfee RP | CHW,A,RP,535
Fairfax Flying Squirrels,Ben Casparius RP | LAD,A,RP,540
Northern Virginia River Rats,"Nick Martinez RP,SP | CIN ",A,"RP,SP",541
W ( 4/15),Orlando Ribalta RP | WAS ,IL,RP,544
W ( 4/15),Pierce Johnson RP | ATL,A,RP,545
W ( 4/15),Danny Young RP | NYM,A,RP,549
Midlothian DeadHeads,Aaron Nola SP | PHI ,A,SP,552
W ( 4/15),Ian Hamilton RP | NYY,A,RP,553
Centreville Blue Sox,Merrill Kelly SP | ARI ,A,SP,554
Iowa Cubs,Max Scherzer SP | TOR ,IL,SP,555
W ( 4/15),Logan Gillaspie RP | SD,A,RP,557
W ( 4/15),"Carmen Mlodzinski RP,SP | PIT ",A,"RP,SP",558
East Carolina Bucs,Bryan Abreu RP | HOU,A,RP,560
East Carolina Bucs,Roki Sasaki SP | LAD ,A,SP,562
W ( 4/15),"Albert Suarez RP,SP | BAL ",IL,"RP,SP",563
Centreville Blue Sox,Reese Olson SP | DET ,A,SP,565
W ( 4/15),Landon Knack SP | LAD ,A,SP,566
W ( 4/15),Omar Cruz RP | SD,M,RP,569
W ( 4/15),"Hogan Harris RP,SP | ATH",M,"RP,SP",570
W ( 4/15),Aaron Bummer RP | ATL ,A,RP,574
W ( 4/15),Angel Perdomo RP | ATH ,A,RP,576
W ( 4/15),Calvin Faucher RP | MIA ,A,RP,580
W ( 4/15),Scott Alexander RP | COL,A,RP,582
South Carolina Ballcocks,Tanner Houck SP | BOS ,A,SP,585
W ( 4/15),Victor Vodnik RP | COL,A,RP,586
W ( 4/15),Jesse Chavez RP | ATL,A,RP,587
W ( 4/15),Caleb Thielbar RP | CHC,A,RP,588
Richmond Hippies,Cade Povich SP | BAL ,A,SP,592
W ( 4/15),Matt Sauer RP | LAD,M,RP,593
W ( 4/15),German Marquez SP | COL ,A,SP,599
Iowa Cubs,Caden Dana SP | LAA,M,SP,601
W ( 4/15),Bradley Blalock SP | COL,M,SP,601
W ( 4/15),Jose Ruiz RP | PHI,A,RP,603
Fairfax Flying Squirrels,"Mike Soroka RP,SP | WAS ",IL,"RP,SP",605
W ( 4/15),Eduardo Salazar RP | WAS,A,RP,608
East Carolina Bucs,Dylan Cease SP | SD ,A,SP,609
W ( 4/15),Collin Snider RP | SEA,A,RP,610
W ( 4/15),Robert Stock SP | BOS ,A,SP,614
W ( 4/15),Marc Church RP | TEX,A,RP,616
W ( 4/15),Jose Ferrer RP | WAS ,IL,RP,617
W ( 4/15),Kody Funderburk RP | MIN ,A,RP,619
Midlothian DeadHeads,Nestor Cortes SP | MIL ,IL,SP,623
W ( 4/15),"Ryan Brasier RP,SP | CHC ",IL,"RP,SP",627
W ( 4/15),Carlos Carrasco SP | NYY ,A,SP,632
W ( 4/15),Jorge Lopez RP | WAS,A,RP,633
W ( 4/15),Brandon Eisert RP | CHW ,A,RP,634
Northern Virginia River Rats,Luis Garcia RP | LAD,A,RP,642
Wrigleyville Fielders,Corbin Burnes SP | ARI ,A,SP,643
W ( 4/15),"Noah Murdock RP,SP | ATH",A,"RP,SP",648
W ( 4/15),"Mike Clevinger RP,SP | CHW ",A,"RP,SP",653
W ( 4/15),Anthony Veneziano RP | MIA ,A,RP,654
W ( 4/15),Kyle Nicolas RP | PIT ,A,RP,655
W ( 4/15),Angel Zerpa RP | KC,A,RP,657
W ( 4/15),Jacob Barnes RP | TOR,A,RP,660
W ( 4/15),Logan Taylor Allen SP | CLE ,A,SP,661
Northern Virginia River Rats,Zack Littell SP | TB ,A,SP,663
W ( 4/15),Colin Selby RP | BAL ,A,RP,667
W ( 4/15),George Soriano RP | MIA,A,RP,668
W ( 4/15),Cal Quantrill SP | MIA ,A,SP,669
South Carolina Ballcocks,Edwin Uceta RP | TB,A,RP,678
Wrigleyville Fielders,Chris Sale SP | ATL ,A,SP,679
Southern Playaz,A.J. Smith-Shawver SP | ATL ,M,SP,684
W ( 4/15),Triston McKenzie SP | CLE,A,SP,685
W ( 4/15),Elvis Peguero RP | MIL ,M,RP,686
Wrigleyville Fielders,Devin Williams RP | NYY ,A,RP,687
W ( 4/15),"Xzavion Curry RP,SP | MIA ",A,"RP,SP",688
Northern Virginia River Rats,Jake Irvin SP | WAS ,A,SP,689
W ( 4/15),Jonathan Cannon SP | CHW ,A,SP,691
W ( 4/15),Garrett McDaniels RP | LAA ,A,RP,693
W ( 4/15),Patrick Corbin SP | TEX,A,SP,695
W ( 4/15),"Mitch Spence RP,SP | ATH",A,"RP,SP",697
W ( 4/15),Scott Barlow RP | CIN,A,RP,702
W ( 4/15),Bryce Elder SP | ATL ,A,SP,706
W ( 4/15),Jason Alexander SP | ATH,A,SP,713
W ( 4/15),Jordan Romano RP | PHI,A,RP,727
Levittown Panthers,Justin Verlander SP | SF ,A,SP,728
W ( 4/15),Richard Lovelady RP | TOR ,A,RP,730
Lewisberg All Blacks,Reynaldo Lopez SP | ATL ,IL,SP,734
W ( 4/15),"Yariel Rodriguez RP,SP | TOR",A,"RP,SP",737
W ( 4/15),David Bednar RP | PIT,M,RP,738
W ( 4/15),Elijah Morgan RP | CHC,A,RP,741
W ( 4/15),John King RP | STL,A,RP,745
W ( 4/15),Colin Holderman RP | PIT ,IL,RP,746
W ( 4/15),Cole Sulser RP | TB ,M,RP,747
W ( 4/15),"Beau Brieske RP,SP | DET",A,"RP,SP",748
W ( 4/15),Trevor Williams SP | WAS ,A,SP,753
W ( 4/15),Aaron Civale SP | MIL ,IL,SP,754
W ( 4/15),Tyler Kinley RP | COL,A,RP,765
W ( 4/15),Caleb Boushley RP | TEX,A,RP,768
Midlothian DeadHeads,Dean Kremer SP | BAL ,A,SP,771
W ( 4/15),"Sean Newcomb RP,SP | BOS ",A,"RP,SP",775
W ( 4/15),Carlos Hernandez RP | PHI,A,RP,777
W ( 4/15),Tayler Scott RP | HOU,A,RP,782
W ( 4/15),Chris Roycroft RP | STL ,M,RP,788
W ( 4/15),Bailey Falter SP | PIT ,A,SP,792
W ( 4/15),Nate Pearson RP | CHC,A,RP,801
W ( 4/15),"Kenta Maeda RP,SP | DET",A,"RP,SP",803
W ( 4/15),T.J. McFarland RP | ATH,A,RP,804
W ( 4/15),Sam Moll RP | CIN,A,RP,805
Centreville Blue Sox,Bailey Ober SP | MIN ,A,SP,807
W ( 4/15),Angel Chivilli RP | COL,A,RP,808
W ( 4/15),Jose Leclerc RP | ATH,A,RP,813
W ( 4/15),"Cooper Criswell RP,SP | BOS",IL,"RP,SP",814
W ( 4/15),Colin Poche RP | WAS,A,RP,815
W ( 4/15),Luis Contreras RP | HOU,A,RP,820
W ( 4/15),Jorge Alcala RP | MIN,A,RP,824
Iowa Cubs,Thomas Harrington SP | PIT ,M,SP,831
W ( 4/15),Ryan Fernandez RP | STL,A,RP,837
W ( 4/15),Gerson Garabito RP | TEX,M,RP,839
W ( 4/15),Tayler Saucedo RP | SEA,M,RP,844
W ( 4/15),Joe Mantiply RP | ARI,A,RP,845
W ( 4/15),Michael Darrell-Hicks RP | LAA ,A,RP,846
W ( 4/15),Lucas Sims RP | WAS ,A,RP,854
W ( 4/15),Hector Neris RP | ATL,A,RP,855
W ( 4/15),Luarbert Arias RP | MIA ,M,RP,856
W ( 4/15),Gordon Graceffo SP | STL,M,SP,857
Southern Playaz,Charlie Morton SP | BAL ,A,SP,858
W ( 4/15),Chris Stratton RP | KC,A,RP,859
Midlothian DeadHeads,Justin Wrobleski SP | LAD ,M,SP,860
